"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Jun 27 08:32:55 GMT 2025","Fri Jun 27 08:32:55 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.GenderTypeTest","testcase.GenderTypeTest","genderTypeUpdation","genderTypeUpdation",""
"broken","Fri Jun 27 08:31:58 GMT 2025","Fri Jun 27 08:32:15 GMT 2025","16666","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTypeTest","testcase.GroupTypeTest","groupTypeCreation","groupTypeCreation",""
"skipped","Fri Jun 27 08:33:17 GMT 2025","Fri Jun 27 08:33:17 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.DistrictConfigTest","testcase.DistrictConfigTest","districtConfigUpdation","districtConfigUpdation",""
"passed","Fri Jun 27 08:30:55 GMT 2025","Fri Jun 27 08:31:23 GMT 2025","28265","Social Registry Sanity Test Suite","Sanity Suite","testcase.LoginPageTest","testcase.LoginPageTest","resetPassword","resetPassword",""
"skipped","Fri Jun 27 08:33:17 GMT 2025","Fri Jun 27 08:33:17 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegionTest","testcase.RegionTest","regionUpdation","regionUpdation",""
"broken","Fri Jun 27 08:32:36 GMT 2025","Fri Jun 27 08:32:55 GMT 2025","18506","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrantTagsTest","testcase.RegistrantTagsTest","registrantTagCreation","registrantTagCreation",""
"broken","Fri Jun 27 08:30:55 GMT 2025","Fri Jun 27 08:31:16 GMT 2025","20779","Social Registry Sanity Test Suite","Sanity Suite","testcase.IndividualTest","testcase.IndividualTest","individualCreation","individualCreation",""
"passed","Fri Jun 27 08:31:26 GMT 2025","Fri Jun 27 08:31:44 GMT 2025","18076","Social Registry Sanity Test Suite","Sanity Suite","testcase.LoginPageTest","testcase.LoginPageTest","loginTest","loginTest",""
"skipped","Fri Jun 27 08:33:17 GMT 2025","Fri Jun 27 08:33:17 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.RelationshipTest","testcase.RelationshipTest","relationshipUpdation","relationshipUpdation",""
"passed","Fri Jun 27 08:31:47 GMT 2025","Fri Jun 27 08:32:12 GMT 2025","24599","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupMembershipKindTest","testcase.GroupMembershipKindTest","groupMembershipKindCreation","groupMembershipKindCreation",""
